player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,OPP_PTS_DEF_1,OPP_FGA_DEF_1,OPP_FGM_DEF_1,OPP_FG3A_DEF_1,OPP_FG3M_DEF_1,OPP_FTA_DEF_1,OPP_TOV_DEF_1,OPP_2PA_DEF_1,OPP_2PM_DEF_1,OPP_2PTS_DEF_1,OPP_PTS_RANK_DEF_1,OPP_FG3M_RANK_DEF_1,OPP_FG3A_RANK_DEF_1,OPP_FGA_RANK_DEF_1,OPP_FGM_RANK_DEF_1,OPP_2PA_RANK_DEF_1,OPP_2PM_RANK_DEF_1,OPP_2PTS_RANK_DEF_1,OPP_FTA_RANK_DEF_1,OPP_TOV_FORCED_RANK_DEF_1,OVERALL_DEF_SCORE_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,OPP_PTS_DEF_2,OPP_FGA_DEF_2,OPP_FGM_DEF_2,OPP_FG3A_DEF_2,OPP_FG3M_DEF_2,OPP_FTA_DEF_2,OPP_TOV_DEF_2,OPP_2PA_DEF_2,OPP_2PM_DEF_2,OPP_2PTS_DEF_2,OPP_PTS_RANK_DEF_2,OPP_FG3M_RANK_DEF_2,OPP_FG3A_RANK_DEF_2,OPP_FGA_RANK_DEF_2,OPP_FGM_RANK_DEF_2,OPP_2PA_RANK_DEF_2,OPP_2PM_RANK_DEF_2,OPP_2PTS_RANK_DEF_2,OPP_FTA_RANK_DEF_2,OPP_TOV_FORCED_RANK_DEF_2,OVERALL_DEF_SCORE_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player,ESPN_ATHLETE_ID,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,min_player_avg,pts_player_avg,minutes_tier,shot_role,usage_role,opp_l10_pts,opp_l10_reb,opp_l10_ast,opp_l10_stl,opp_l10_blk,opp_last_game_pts,opp_last_game_reb,opp_last_game_ast,opp_last_game_date,opp_games_played,opp_home_avg_pts,opp_away_avg_pts,opp_last_3_avg_pts,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source,ctx_adj,days_rest,b2b_flag,home_away,rest_adj,schedule_source,h2h_last_stat,h2h_last_date,h2h_games_vs_opp,h2h_avg,h2h_over_rate,projection,edge,abs_edge,forced_over_only,bet_direction,eligible,void_reason,edge_dr,line_hit_rate,minutes_certainty,prop_weight,reliability_mult,def_adj,projection_adj,edge_adj,edge_adj_dr,def_rank_signal,prop_hr_prior,stat_last5_avg_num,stat_last10_avg_num,stat_season_avg_num,avg_vs_line,edge_z,line_hit_z,min_z,def_rank_z,avg_vs_line_z,prop_hr_z,rank_score,tier,model_dir,final_bet_direction,final_dir_reason
Jalen Johnson,F,ATL,,22.5,Points,pts,Standard,1630552,10493166,10493166,87857,136418,2026-03-16T19:00:00.000-04:00,ATL,,22.5,0,https://static.prizepicks.com/images/manual/JalenJohnson_headshot.png,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4701230.0,27.0,35.0,20.0,8.0,5.0,26.0,16.0,32.0,5.0,5.0,19.0,17.9,17.9,2.0,3.0,0.0,0.4,0.4,0.6,0.4,0.6,OK,29.4,OK,5.0,2.0,3.0,0.0,0.4,0.6,29.4,19.0,MEDIUM,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,1,False,HOME,0,cache,,,,,,18.45,-4.050000000000001,4.050000000000001,0,UNDER,1,,-2.544210651641051,0.6,0.9,1.03,1,0,18.45,-4.050000000000001,2.544210651641051,,0.54,19,17.9,17.9,0.18,-1.727593264745641,-0.620297155268472,-0.2840372239656758,,-0.04345145256882004,0.1844161125886028,1.672654731776748,C,UNDER,UNDER,
Paolo Banchero,F,ORL,WAS,49.5,Fantasy Score,fantasy,Demon,1631094,10528570,10528570,188001,135136,2026-03-12T19:00:00.000-04:00,,,42.5,1,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4432573.0,50.0,51.25,56.75,52.0,56.25,49.25,51.0,67.0,40.25,71.0,53.25,54.475,54.475,5.0,0.0,0.0,1.0,1.0,0.0,0.8,0.2,OK,33.8,OK,5.0,5.0,0.0,0.0,1.0,0.0,33.8,53.25,HIGH,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,61.941875,12.441875,12.441875,1,OVER,1,,2.544210651641051,0.9,1,1,0.75,0.06,65.6583875,16.1583875,2.544210651641051,1,0.674,53.25,54.475,54.475,0.08813131313131314,2.441473702101117,1.539689448205691,1.081280968501847,1.692466138435786,-0.6702358645793108,1.763844036641919,4.106140018222723,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Desmond Bane,G,ORL,WAS,43.0,Fantasy Score,fantasy,Demon,1630217,10528567,10528567,271602,135136,2026-03-12T19:00:00.000-04:00,,,36.5,1,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4066320.0,59.0,49.25,45.25,33.0,39.5,38.5,54.5,39.25,53.75,55.5,45.2,46.75,46.75,3.0,2.0,0.0,0.6,0.6,0.4,0.6,0.4,OK,34.0,OK,5.0,3.0,2.0,0.0,0.6,0.4,34.0,45.2,HIGH,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,52.87125,9.871249999999996,9.871249999999996,1,OVER,1,,2.544210651641051,0.6,1,1,0.75,0.06,56.043525,13.043525,2.544210651641051,1,0.674,45.2,46.75,46.75,0.06918604651162795,1.773878767144599,-0.1551331592971143,1.081280968501847,1.692466138435786,-0.7361957501203824,1.763844036641919,2.988588170322831,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Paolo Banchero,F,ORL,WAS,36.5,Fantasy Score,fantasy,Goblin,1631094,10528582,10528582,188001,135136,2026-03-12T19:00:00.000-04:00,,,42.5,1,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4432573.0,50.0,51.25,56.75,52.0,56.25,49.25,51.0,67.0,40.25,71.0,53.25,54.475,54.475,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,33.8,OK,5.0,5.0,0.0,0.0,1.0,0.0,33.8,53.25,HIGH,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,61.941875,25.441875,25.441875,1,OVER,1,,2.544210651641051,1,1,1,1.06,0.06,65.6583875,29.1583875,2.544210651641051,1,0.674,53.25,54.475,54.475,0.4756849315068494,5.817592021356048,2.104630317373292,1.081280968501847,1.692466138435786,0.6790717393853178,1.763844036641919,7.385055827360003,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Wendell Carter,C-F,ORL,WAS,34.0,Fantasy Score,fantasy,Demon,1628976,10528578,10528578,37711,135136,2026-03-12T19:00:00.000-04:00,,,28.0,1,https://static.prizepicks.com/images/players/NBA/Wendell_Carter_NBA_player_D8fHvKLdHu6fJ37Fbvf4voGd.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,NO_ID,,MISSING_STAT_VALUES,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,,,,1,OVER,0,NO_PROJECTION_OR_LINE,,,0.8,1,0.75,0.06,,,,1,0.674,,,,0,0,0,-1.649355416433199,0,0,0,,D,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
Alex Sarr,C,WAS,ORL,33.5,Fantasy Score,fantasy,Demon,1642259,10528588,10528588,217304,135136,2026-03-12T19:00:00.000-04:00,,,27.5,1,https://static.prizepicks.com/images/players/NBA/Alex_Sarr_NBA_player_iVX5K46A4U7vdUFPdEae3RXs.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5160992.0,47.0,15.5,,,,,,,,,31.25,31.25,31.25,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,OK,19.0,OK,2.0,1.0,1.0,0.0,0.5,0.5,19.0,31.25,LOW,MID_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,35.9375,2.4375,2.4375,1,OVER,1,,2.132568208938456,0.5,0.75,1,0.75,0,35.9375,2.4375,2.132568208938456,-0.03448275862068961,0.674,31.25,31.25,31.25,-0.06716417910447761,-0.1566765832985806,-0.7200740284647157,-2.332014512666961,-0.08632482702038265,-1.210913021493734,1.763844036641919,0.3917203618652183,D,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Desmond Bane,G,ORL,WAS,31.0,Fantasy Score,fantasy,Goblin,1630217,10528574,10528574,271602,135136,2026-03-12T19:00:00.000-04:00,,,36.5,1,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4066320.0,59.0,49.25,45.25,33.0,39.5,38.5,54.5,39.25,53.75,55.5,45.2,46.75,46.75,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,34.0,OK,5.0,5.0,0.0,0.0,1.0,0.0,34.0,45.2,HIGH,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,52.87125,21.87125,21.87125,1,OVER,1,,2.544210651641051,1,1,1,1.06,0.06,56.043525,25.043525,2.544210651641051,1,0.674,45.2,46.75,46.75,0.4830645161290323,4.890295677226074,2.104630317373292,1.081280968501847,1.692466138435786,0.7047645188426451,1.763844036641919,7.405481587028579,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Trae Young,G,WAS,ORL,30.5,Fantasy Score,fantasy,Demon,1629027,10528599,10528599,304617,135136,2026-03-12T19:00:00.000-04:00,,,24.5,1,https://static.prizepicks.com/images/manual/Trae_YoungWAS.png,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4277905.0,38.0,31.0,,,,,,,,,34.5,34.5,34.5,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,18.5,OK,2.0,2.0,0.0,0.0,1.0,0.0,18.5,34.5,LOW,MID_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,39.675,9.174999999999997,9.174999999999997,1,OVER,1,,2.544210651641051,1,0.75,1,0.75,0,39.675,9.174999999999997,2.544210651641051,-0.03448275862068961,0.674,34.5,34.5,34.5,0.1311475409836066,1.59306166100758,2.104630317373292,-2.332014512666961,-0.08632482702038265,-0.5204704628827327,1.763844036641919,2.843265378778541,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Tristan Silva,F,ORL,WAS,29.0,Fantasy Score,fantasy,Demon,,10528572,10528572,218628,135136,2026-03-12T19:00:00.000-04:00,,,23.5,1,https://static.prizepicks.com/images/players/NBA/Tristan_Da_Silva_NBA_player_P4N0KaXAPN3h5k1IVKetUs5m.webp,,,,,UNRESOLVED_SINGLE,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,NO_ID,,MISSING_STAT_VALUES,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,,,,1,OVER,0,NO_PROJECTION_OR_LINE,,,0.8,1,0.75,0.06,,,,1,0.674,,,,0,0,0,-1.649355416433199,0,0,0,,D,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
Jalen Suggs,G,ORL,WAS,29.0,Fantasy Score,fantasy,Goblin,1630591,10528580,10528580,53830,135136,2026-03-12T19:00:00.000-04:00,,,34.5,1,https://static.prizepicks.com/images/players/NBA/Jalen_Suggs_NBA_player_I7jpOaNuORX9n8iyAuZi5K2s.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4432165.0,30.5,34.25,36.5,41.5,38.75,31.25,8.25,19.25,58.25,,36.3,33.167,33.167,5.0,0.0,0.0,1.0,1.0,0.0,0.778,0.222,OK,28.4,OK,5.0,5.0,0.0,0.0,1.0,0.0,28.4,36.3,MEDIUM,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,39.94352499999999,10.94352499999999,10.94352499999999,1,OVER,1,,2.544210651641051,0.889,0.9,1,1.06,0.06,42.34013649999999,13.34013649999999,2.544210651641051,1,0.674,36.3,33.167,33.167,0.1977068965517241,2.052350095666066,1.477545952597254,-0.2840372239656758,1.692466138435786,-0.2887372514641717,1.763844036641919,5.688835345967556,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Bilal Coulibaly,G,WAS,ORL,29.0,Fantasy Score,fantasy,Demon,1641731,10528583,10528583,175142,135136,2026-03-12T19:00:00.000-04:00,,,23.5,1,https://static.prizepicks.com/images/players/NBA/Bilal_Coulibaly_NBA_player_f5LWHMnZBsHakrCtOOdjKlYr.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5104155.0,34.0,12.0,33.75,17.5,36.75,32.75,24.25,33.0,34.5,30.75,26.8,28.925,28.925,3.0,2.0,0.0,0.6,0.6,0.4,0.7,0.3,OK,28.8,OK,5.0,3.0,2.0,0.0,0.6,0.4,28.8,26.8,MEDIUM,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,32.041875,3.041874999999997,3.041874999999997,1,OVER,1,,2.544210651641051,0.6499999999999999,0.9,1,0.75,0,32.041875,3.041874999999997,2.544210651641051,-0.03448275862068961,0.674,26.8,28.925,28.925,-0.03922413793103446,0.0002804558706263841,0.1273372752866861,-0.2840372239656758,-0.08632482702038265,-1.113636907369363,1.763844036641919,1.633080681056091,C,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Will Riley,F,WAS,ORL,28.0,Fantasy Score,fantasy,Demon,1642860,10528596,10528596,284883,135136,2026-03-12T19:00:00.000-04:00,,,22.5,1,https://static.prizepicks.com/images/players/NBA/Will_Riley_NBA_player_i958pZUF5ADJdpTh5BxYK01R.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5144126.0,38.5,25.25,23.5,39.25,15.25,32.0,44.5,30.0,31.5,22.25,28.35,30.2,30.2,2.0,3.0,0.0,0.4,0.4,0.6,0.6,0.4,OK,31.2,OK,5.0,2.0,3.0,0.0,0.4,0.6,31.2,28.35,HIGH,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,33.66625,5.666249999999998,5.666249999999998,1,OVER,1,,2.544210651641051,0.5,1,1,0.75,0,33.66625,5.666249999999998,2.544210651641051,-0.03448275862068961,0.674,28.35,30.2,30.2,0.0455357142857143,0.6818343415702158,-0.7200740284647157,1.081280968501847,-0.08632482702038265,-0.8185368033209048,1.763844036641919,1.514846944529491,C,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Tre Johnson,G,WAS,ORL,25.0,Fantasy Score,fantasy,Demon,1642848,10528601,10528601,271616,135136,2026-03-12T19:00:00.000-04:00,,,19.5,1,https://static.prizepicks.com/images/manual/Tre Johnson.png,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5238230.0,29.5,32.5,35.5,11.0,18.5,13.25,27.25,11.25,20.25,25.75,25.4,22.475,22.475,3.0,2.0,0.0,0.6,0.6,0.4,0.5,0.5,OK,22.2,OK,5.0,3.0,2.0,0.0,0.6,0.4,22.2,25.4,MEDIUM,MID_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,27.528125,2.528124999999999,2.528124999999999,1,OVER,1,,2.199777531212653,0.55,0.9,1,0.75,0,27.528125,2.528124999999999,2.199777531212653,-0.03448275862068961,0.674,25.4,22.475,22.475,-0.0425,-0.1331411430922363,-0.4376035938809146,-0.2840372239656758,-0.08632482702038265,-1.125042156577774,1.763844036641919,1.046939310008911,D,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Wendell Carter,C-F,ORL,WAS,23.0,Fantasy Score,fantasy,Goblin,1628976,10528589,10528589,37711,135136,2026-03-12T19:00:00.000-04:00,,,28.0,1,https://static.prizepicks.com/images/players/NBA/Wendell_Carter_NBA_player_D8fHvKLdHu6fJ37Fbvf4voGd.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,NO_ID,,MISSING_STAT_VALUES,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,,,,1,OVER,0,NO_PROJECTION_OR_LINE,,,0.8,1,1.06,0.06,,,,1,0.674,,,,0,0,0,-1.649355416433199,0,0,0,,D,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
Alex Sarr,C,WAS,ORL,22.5,Fantasy Score,fantasy,Goblin,1642259,10528576,10528576,217304,135136,2026-03-12T19:00:00.000-04:00,,,27.5,1,https://static.prizepicks.com/images/players/NBA/Alex_Sarr_NBA_player_iVX5K46A4U7vdUFPdEae3RXs.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5160992.0,47.0,15.5,,,,,,,,,31.25,31.25,31.25,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,OK,19.0,OK,2.0,1.0,1.0,0.0,0.5,0.5,19.0,31.25,LOW,MID_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,35.9375,13.4375,13.4375,1,OVER,1,,2.544210651641051,0.5,0.75,1,1.06,0,35.9375,13.4375,2.544210651641051,-0.03448275862068961,0.674,31.25,31.25,31.25,0.3888888888888889,2.700038917609438,-0.7200740284647157,-2.332014512666961,-0.08632482702038265,0.3768824299696358,1.763844036641919,2.186818669557926,B,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Trae Young,G,WAS,ORL,19.5,Fantasy Score,fantasy,Goblin,1629027,10528591,10528591,304617,135136,2026-03-12T19:00:00.000-04:00,,,24.5,1,https://static.prizepicks.com/images/manual/Trae_YoungWAS.png,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4277905.0,38.0,31.0,,,,,,,,,34.5,34.5,34.5,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,18.5,OK,2.0,2.0,0.0,0.0,1.0,0.0,18.5,34.5,LOW,MID_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,39.675,20.175,20.175,1,OVER,1,,2.544210651641051,1,0.75,1,1.06,0,39.675,20.175,2.544210651641051,-0.03448275862068961,0.674,34.5,34.5,34.5,0.7692307692307693,4.449777161915598,2.104630317373292,-2.332014512666961,-0.08632482702038265,1.701081629560696,1.763844036641919,5.784615648832863,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Tristan Silva,F,ORL,WAS,19.0,Fantasy Score,fantasy,Goblin,,10528581,10528581,218628,135136,2026-03-12T19:00:00.000-04:00,,,23.5,1,https://static.prizepicks.com/images/players/NBA/Tristan_Da_Silva_NBA_player_P4N0KaXAPN3h5k1IVKetUs5m.webp,,,,,UNRESOLVED_SINGLE,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,NO_ID,,MISSING_STAT_VALUES,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,,,,1,OVER,0,NO_PROJECTION_OR_LINE,,,0.8,1,1.06,0.06,,,,1,0.674,,,,0,0,0,-1.649355416433199,0,0,0,,D,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
Bilal Coulibaly,G,WAS,ORL,19.0,Fantasy Score,fantasy,Goblin,1641731,10528592,10528592,175142,135136,2026-03-12T19:00:00.000-04:00,,,23.5,1,https://static.prizepicks.com/images/players/NBA/Bilal_Coulibaly_NBA_player_f5LWHMnZBsHakrCtOOdjKlYr.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5104155.0,34.0,12.0,33.75,17.5,36.75,32.75,24.25,33.0,34.5,30.75,26.8,28.925,28.925,3.0,2.0,0.0,0.6,0.6,0.4,0.8,0.2,OK,28.8,OK,5.0,3.0,2.0,0.0,0.6,0.4,28.8,26.8,MEDIUM,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,,,,False,False,UNKNOWN,fallback,0,99,False,UNKNOWN,0,cache,,,,,,32.041875,13.041875,13.041875,1,OVER,1,,2.544210651641051,0.7,0.9,1,1.06,0,32.041875,13.041875,2.544210651641051,-0.03448275862068961,0.674,26.8,28.925,28.925,0.4664473684210527,2.597294547605189,0.4098077098704871,-0.2840372239656758,-0.08632482702038265,0.646910217668623,1.763844036641919,3.962228188524479,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
