nba_player_id,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,OPP_PTS_DEF_1,OPP_FGA_DEF_1,OPP_FGM_DEF_1,OPP_FG3A_DEF_1,OPP_FG3M_DEF_1,OPP_FTA_DEF_1,OPP_TOV_DEF_1,OPP_2PA_DEF_1,OPP_2PM_DEF_1,OPP_2PTS_DEF_1,OPP_PTS_RANK_DEF_1,OPP_FG3M_RANK_DEF_1,OPP_FG3A_RANK_DEF_1,OPP_FGA_RANK_DEF_1,OPP_FGM_RANK_DEF_1,OPP_2PA_RANK_DEF_1,OPP_2PM_RANK_DEF_1,OPP_2PTS_RANK_DEF_1,OPP_FTA_RANK_DEF_1,OPP_TOV_FORCED_RANK_DEF_1,OVERALL_DEF_SCORE_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,OPP_PTS_DEF_2,OPP_FGA_DEF_2,OPP_FGM_DEF_2,OPP_FG3A_DEF_2,OPP_FG3M_DEF_2,OPP_FTA_DEF_2,OPP_TOV_DEF_2,OPP_2PA_DEF_2,OPP_2PM_DEF_2,OPP_2PTS_DEF_2,OPP_PTS_RANK_DEF_2,OPP_FG3M_RANK_DEF_2,OPP_FG3A_RANK_DEF_2,OPP_FGA_RANK_DEF_2,OPP_FGM_RANK_DEF_2,OPP_2PA_RANK_DEF_2,OPP_2PM_RANK_DEF_2,OPP_2PTS_RANK_DEF_2,OPP_FTA_RANK_DEF_2,OPP_TOV_FORCED_RANK_DEF_2,OVERALL_DEF_SCORE_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player
1630559,Austin Reaves,G,LAL,NYK,30.0,Fantasy Score,fantasy,Goblin,10410940,10410940,55934,134103,2026-03-08T15:30:00.000-04:00,,,35.5,1,https://static.prizepicks.com/images/players/NBA/Austin_Reaves_NBA_player_dbtdqki4v3xim48StrN2BdAW.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1628384,OG Anunoby,F-G,NYK,LAL,26.0,Fantasy Score,fantasy,Goblin,10410965,10410965,183158,134103,2026-03-08T15:30:00.000-04:00,,,31.5,1,https://static.prizepicks.com/images/players/NBA/OG_Anunoby_NBA_player_7g4oOE9EMB4tFkaOcu1UCAZ0.webp,,,,,OK,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1628404,Josh Hart,G,NYK,LAL,23.5,Fantasy Score,fantasy,Goblin,10410943,10410943,123595,134103,2026-03-08T15:30:00.000-04:00,,,28.5,1,https://static.prizepicks.com/images/players/NBA/Josh_Hart_NBA_player_H4eKetTATQuBYqjr3k7PBmJd.webp,,,,,OK,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1628969,Mikal Bridges,G-F,NYK,LAL,22.5,Fantasy Score,fantasy,Goblin,10410966,10410966,216219,134103,2026-03-08T15:30:00.000-04:00,,,27.5,1,https://static.prizepicks.com/images/players/NBA/Mikal_Bridges_NBA_player_GWFvIk1UqZwpQez5aYd322k.webp,,,,,OK,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,56.5,Fantasy Score,fantasy,Standard,10410945,10410945,227710,134103,2026-03-08T15:30:00.000-04:00,,,56.5,0,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,54.5,Pts+Rebs+Asts,pra,Demon,10399961,10399961,227710,134103,2026-03-08T15:30:00.000-04:00,,,49.5,2,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,52.5,Pts+Rebs+Asts,pra,Demon,10399960,10399960,227710,134103,2026-03-08T15:30:00.000-04:00,,,49.5,1,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,49.5,Pts+Rebs+Asts,pra,Standard,10399579,10399579,227710,134103,2026-03-08T15:30:00.000-04:00,,,49.5,0,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,49.5,Pts+Asts,pa,Demon,10401522,10401522,227710,134103,2026-03-08T15:30:00.000-04:00,,,41.5,2,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,49.5,Pts+Rebs,pr,Demon,10401525,10401525,227710,134103,2026-03-08T15:30:00.000-04:00,,,40.5,2,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,44.5,Pts+Rebs+Asts,pra,Goblin,10399958,10399958,227710,134103,2026-03-08T15:30:00.000-04:00,,,49.5,1,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1628973,Jalen Brunson,G,NYK,LAL,44.5,Pts+Asts,pa,Demon,10401489,10401489,188004,134103,2026-03-08T15:30:00.000-04:00,,,33.5,2,https://static.prizepicks.com/images/players/NBA/Jalen_Brunson_NBA_player_yiwlT8GHgktYu1WBoRvjpRr8.webp,,,,,OK,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,44.5,Pts+Asts,pa,Demon,10401521,10401521,227710,134103,2026-03-08T15:30:00.000-04:00,,,41.5,1,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,44.5,Pts+Rebs,pr,Demon,10401524,10401524,227710,134103,2026-03-08T15:30:00.000-04:00,,,40.5,1,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,43.5,Pts+Rebs+Asts,pra,Goblin,10400399,10400399,227710,134103,2026-03-08T15:30:00.000-04:00,,,49.5,2,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1628973,Jalen Brunson,G,NYK,LAL,42.5,Pts+Rebs+Asts,pra,Demon,10399855,10399855,188004,134103,2026-03-08T15:30:00.000-04:00,,,37.5,2,https://static.prizepicks.com/images/players/NBA/Jalen_Brunson_NBA_player_yiwlT8GHgktYu1WBoRvjpRr8.webp,,,,,OK,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,41.5,Pts+Asts,pa,Standard,10399577,10399577,227710,134103,2026-03-08T15:30:00.000-04:00,,,41.5,0,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,40.5,Pts+Rebs,pr,Standard,10399578,10399578,227710,134103,2026-03-08T15:30:00.000-04:00,,,40.5,0,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1628973,Jalen Brunson,G,NYK,LAL,40.5,Pts+Rebs+Asts,pra,Demon,10399854,10399854,188004,134103,2026-03-08T15:30:00.000-04:00,,,37.5,1,https://static.prizepicks.com/images/players/NBA/Jalen_Brunson_NBA_player_yiwlT8GHgktYu1WBoRvjpRr8.webp,,,,,OK,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1628973,Jalen Brunson,G,NYK,LAL,40.5,Fantasy Score,fantasy,Standard,10410938,10410938,188004,134103,2026-03-08T15:30:00.000-04:00,,,40.5,0,https://static.prizepicks.com/images/players/NBA/Jalen_Brunson_NBA_player_yiwlT8GHgktYu1WBoRvjpRr8.webp,,,,,OK,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,39.5,Points,pts,Demon,10399574,10399574,227710,134103,2026-03-08T15:30:00.000-04:00,,,31.5,3,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1628973,Jalen Brunson,G,NYK,LAL,39.5,Pts+Asts,pa,Demon,10401487,10401487,188004,134103,2026-03-08T15:30:00.000-04:00,,,33.5,1,https://static.prizepicks.com/images/players/NBA/Jalen_Brunson_NBA_player_yiwlT8GHgktYu1WBoRvjpRr8.webp,,,,,OK,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1628973,Jalen Brunson,G,NYK,LAL,39.5,Pts+Rebs,pr,Demon,10401492,10401492,188004,134103,2026-03-08T15:30:00.000-04:00,,,29.5,2,https://static.prizepicks.com/images/players/NBA/Jalen_Brunson_NBA_player_yiwlT8GHgktYu1WBoRvjpRr8.webp,,,,,OK,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1626157,Karl-Anthony Towns,C-F,NYK,LAL,39.5,Pts+Rebs,pr,Demon,10401507,10401507,216220,134103,2026-03-08T15:30:00.000-04:00,,,28.5,2,https://static.prizepicks.com/images/manual/Karl-Anthony_Townss.png,,,,,OK,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,39.5,Pts+Rebs+Asts,pra,Goblin,10401526,10401526,227710,134103,2026-03-08T15:30:00.000-04:00,,,49.5,3,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,39.5,Pts+Asts,pa,Goblin,10414016,10414016,227710,134103,2026-03-08T15:30:00.000-04:00,,,41.5,1,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1628973,Jalen Brunson,G,NYK,LAL,37.5,Pts+Rebs+Asts,pra,Standard,10399485,10399485,188004,134103,2026-03-08T15:30:00.000-04:00,,,37.5,0,https://static.prizepicks.com/images/players/NBA/Jalen_Brunson_NBA_player_yiwlT8GHgktYu1WBoRvjpRr8.webp,,,,,OK,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,37.5,Pts+Rebs,pr,Goblin,10407758,10407758,227710,134103,2026-03-08T15:30:00.000-04:00,,,40.5,1,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1626157,Karl-Anthony Towns,C-F,NYK,LAL,37.5,Fantasy Score,fantasy,Standard,10410941,10410941,216220,134103,2026-03-08T15:30:00.000-04:00,,,37.5,0,https://static.prizepicks.com/images/manual/Karl-Anthony_Townss.png,,,,,OK,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1629029,Luka Dončić,F-G,LAL,NYK,37.5,Pts+Asts,pa,Goblin,10413461,10413461,227710,134103,2026-03-08T15:30:00.000-04:00,,,41.5,2,https://static.prizepicks.com/images/players/NBA/Luka_Doncic_NBA_player_fKmR8FlizWoOkrLzqVJDKre3.webp,,,,,OK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1626157,Karl-Anthony Towns,C-F,NYK,LAL,36.5,Pts+Rebs+Asts,pra,Demon,10399890,10399890,216220,134103,2026-03-08T15:30:00.000-04:00,,,31.5,3,https://static.prizepicks.com/images/manual/Karl-Anthony_Townss.png,,,,,OK,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
