projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,avg_L5,avg_L10,avg_L20,avg_season,games_played,fantasy_score_avg_L5,fantasy_score_avg_L10,fantasy_score_avg_L20,fantasy_score_avg_season,toi_avg_L10,toi_avg_season,last1_time_on_ice,last2_time_on_ice,last3_time_on_ice,last1_fantasy_score,last2_fantasy_score,last3_fantasy_score,last1_faceoffs_won,last2_faceoffs_won,last3_faceoffs_won,last1_shots_on_goal_(combo),last2_shots_on_goal_(combo),last3_shots_on_goal_(combo),last1_hits,last2_hits,last3_hits,last1_shots_on_goal,last2_shots_on_goal,last3_shots_on_goal,last1_blocked_shots,last2_blocked_shots,last3_blocked_shots,last1_points,last2_points,last3_points,last1_assists,last2_assists,last3_assists,last1_goals,last2_goals,last3_goals,last1_plus/minus,last2_plus/minus,last3_plus/minus,last1_power_play_points,last2_power_play_points,last3_power_play_points,last1_goalie_saves,last2_goalie_saves,last3_goalie_saves,last1_goals_allowed,last2_goals_allowed,last3_goals_allowed,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,edge,recommended_side
10409599,215935,Cutter Gauthier,ANA,F,Shots On Goal,4.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8483445,3.419,0.0,0.0,2.613,0.0,0.0,62,26,WEAK,3.4,3.1,2.9,2.833,30,10.9,9.65,9.3,9.283,14.582,13.882,,,,4.5,9.5,1.5,,,,,,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,0.6,3,2,5,0.4,4,6,10,0.25,5,15,20,0.2667,30,0.4442,0.0558,UNDER
10409609,218311,Dylan Holloway,STL,F,Shots On Goal,4.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8482077,3.5,0.0,0.0,3.403,0.0,0.0,62,30,WEAK,2.0,2.3,2.4,2.267,30,9.8,11.95,10.85,9.167,17.204,17.721,,,,0.0,6.5,1.5,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0.6,3,2,5,0.3,3,7,10,0.2,4,16,20,0.1667,30,0.3917,0.1083,UNDER
10409632,58161,Jordan Kyrou,STL,F,Shots On Goal,4.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8479385,3.5,0.0,0.0,3.403,0.0,0.0,62,30,WEAK,3.4,3.7,3.25,2.967,30,11.9,11.85,11.925,10.617,16.89,16.71,,,,22.0,12.5,20.5,,,,,,,,,,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,5,5,0.1,1,9,10,0.05,1,19,20,0.0333,30,0.0458,0.4542,UNDER
10409639,173423,Leo Carlsson,ANA,F,Shots On Goal,4.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8484153,3.419,0.0,0.0,2.613,0.0,0.0,62,26,WEAK,2.8,2.2,2.0,1.8,30,8.2,6.6,8.4,8.3,18.237,16.723,,,,3.0,17.0,0.0,,,,,,,,,,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,5,5,0.1,1,9,10,0.05,1,19,20,0.1,30,0.0525,0.4475,UNDER
10404543,215935,Cutter Gauthier,ANA,F,Shots On Goal,3.5,standard,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8483445,3.419,0.0,0.0,2.613,0.0,0.0,62,26,WEAK,3.4,3.1,2.9,2.833,30,10.9,9.65,9.3,9.283,14.582,13.882,,,,4.5,9.5,1.5,,,,,,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,0.8,4,1,5,0.6,6,4,10,0.6,12,8,20,0.5333,30,0.6733,0.1733,OVER
10409584,268295,Beckett Sennecke,ANA,F,Shots On Goal,3.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8484762,3.419,0.0,0.0,2.613,0.0,0.0,62,26,WEAK,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,4,5,0.3,3,7,10,0.3,6,14,20,0.2667,30,0.2567,0.2433,UNDER
10409608,218311,Dylan Holloway,STL,F,Shots On Goal,3.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8482077,3.5,0.0,0.0,3.403,0.0,0.0,62,30,WEAK,2.0,2.3,2.4,2.267,30,9.8,11.95,10.85,9.167,17.204,17.721,,,,0.0,6.5,1.5,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0.6,3,2,5,0.4,4,6,10,0.25,5,15,20,0.2333,30,0.4408,0.0592,UNDER
10409619,221656,Jacob Trouba,ANA,D,Shots On Goal,3.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8476885,3.419,0.0,0.0,2.613,0.0,0.0,62,26,WEAK,1.4,1.6,1.3,1.2,30,2.1,2.9,2.6,2.4,20.057,20.555,,,,1.5,1.5,3.0,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,5,5,0.2,2,8,10,0.15,3,17,20,0.1333,30,0.1058,0.3942,UNDER
10409622,268035,Jimmy Snuggerud,STL,F,Shots On Goal,3.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8483516,3.5,0.0,0.0,3.403,0.0,0.0,62,30,WEAK,1.2,1.429,1.429,1.429,7,5.4,5.429,5.429,5.429,15.469,15.469,,,,19.0,1.5,1.5,,,,,,,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,5,5,0.1,1,9,10,0.3,6,14,20,0.2,30,0.1,0.4,UNDER
10409631,58161,Jordan Kyrou,STL,F,Shots On Goal,3.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8479385,3.5,0.0,0.0,3.403,0.0,0.0,62,30,WEAK,3.4,3.7,3.25,2.967,30,11.9,11.85,11.925,10.617,16.89,16.71,,,,22.0,12.5,20.5,,,,,,,,,,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,4,5,0.3,3,7,10,0.3,6,14,20,0.2333,30,0.2533,0.2467,UNDER
10409638,173423,Leo Carlsson,ANA,F,Shots On Goal,3.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8484153,3.419,0.0,0.0,2.613,0.0,0.0,62,26,WEAK,2.8,2.2,2.0,1.8,30,8.2,6.6,8.4,8.3,18.237,16.723,,,,3.0,17.0,0.0,,,,,,,,,,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,3,5,0.4,4,6,10,0.25,5,15,20,0.2667,30,0.3642,0.1358,UNDER
10409649,218232,Pavel Buchnevich,STL,F,Shots On Goal,3.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8477402,3.5,0.0,0.0,3.403,0.0,0.0,62,30,WEAK,1.8,1.9,2.0,1.967,30,13.1,9.65,8.95,8.35,19.511,19.455,,,,21.0,0.0,21.0,,,,,,,,,,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,5,5,0.2,2,8,10,0.2,4,16,20,0.1333,30,0.1133,0.3867,UNDER
10409955,218287,Alex Killorn,ANA,F,Shots On Goal,3.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8473986,3.419,0.0,0.0,2.613,0.0,0.0,62,26,WEAK,0.8,1.2,1.85,1.733,30,5.8,4.1,6.425,5.733,16.704,17.143,,,,0.0,12.5,6.5,,,,,,,,,,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,4,5,0.2,2,8,10,0.2,4,16,20,0.1667,30,0.1967,0.3033,UNDER
10409962,267737,Chris Kreider,ANA,F,Shots On Goal,3.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8475184,3.419,0.0,0.0,2.613,0.0,0.0,62,26,WEAK,1.0,1.5,1.6,1.733,30,7.7,6.65,5.4,5.467,14.026,15.719,,,,14.5,11.5,0.0,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,4,5,0.3,3,7,10,0.2,4,16,20,0.1667,30,0.2317,0.2683,UNDER
