SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1627739,0022500087,2025-10-22,LAC @ UTA,L,22,0,3,0.0,0,1,0.0,0,0,0.0,2,3,5,1,1,0,2,0,0,-20,1
22025,1627739,0022500099,2025-10-24,LAC vs. PHX,W,21,5,8,0.625,2,4,0.5,2,2,1.0,1,1,2,1,3,0,0,1,14,18,1
22025,1627739,0022500112,2025-10-26,LAC vs. POR,W,22,4,6,0.667,1,3,0.333,0,0,0.0,0,2,2,1,0,0,1,4,9,6,1
22025,1627739,0022500127,2025-10-28,LAC @ GSW,L,26,2,6,0.333,1,2,0.5,0,0,0.0,3,1,4,0,0,0,2,2,5,-12,1
22025,1627739,0022500027,2025-10-31,LAC vs. NOP,W,23,3,6,0.5,0,1,0.0,0,0,0.0,0,0,0,0,3,0,1,4,6,-2,1
22025,1627739,0022500164,2025-11-03,LAC vs. MIA,L,23,4,6,0.667,2,2,1.0,0,0,0.0,2,1,3,4,3,0,1,3,10,-2,1
22025,1627739,0022500170,2025-11-04,LAC vs. OKC,L,30,2,4,0.5,1,3,0.333,1,2,0.5,0,5,5,3,2,1,3,2,6,-24,1
22025,1627739,0022500182,2025-11-06,LAC @ PHX,L,24,3,4,0.75,1,1,1.0,2,2,1.0,1,1,2,6,1,0,2,0,9,-27,1
22025,1627739,0022500190,2025-11-08,LAC vs. PHX,L,33,3,5,0.6,0,1,0.0,0,2,0.0,1,1,2,3,2,0,2,5,6,-7,1
22025,1627739,0022500206,2025-11-10,LAC vs. ATL,L,36,5,10,0.5,1,4,0.25,0,1,0.0,0,2,2,0,2,1,0,3,11,13,1
22025,1627739,0022500224,2025-11-12,LAC vs. DEN,L,16,1,4,0.25,0,0,0.0,1,1,1.0,0,0,0,2,1,0,1,5,3,-8,1
22025,1627739,0022500046,2025-11-14,LAC @ DAL,W,32,2,8,0.25,1,6,0.167,4,4,1.0,0,2,2,5,2,1,1,2,9,3,1
22025,1627739,0022500233,2025-11-16,LAC @ BOS,L,24,1,5,0.2,1,3,0.333,3,4,0.75,1,3,4,3,0,1,3,2,6,-15,1
22025,1627739,0022500243,2025-11-17,LAC @ PHI,L,27,3,5,0.6,1,2,0.5,0,0,0.0,1,1,2,5,1,0,1,5,7,-8,1
22025,1627739,0022500264,2025-11-20,LAC @ ORL,L,25,2,5,0.4,0,1,0.0,0,0,0.0,0,3,3,3,1,0,1,1,4,-16,1
22025,1627739,0022500268,2025-11-22,LAC @ CHA,W,27,3,5,0.6,0,0,0.0,0,0,0.0,1,1,2,6,1,0,0,1,6,8,1
22025,1627739,0022500278,2025-11-23,LAC @ CLE,L,24,3,5,0.6,1,1,1.0,2,2,1.0,2,2,4,2,1,0,1,2,9,4,1
22025,1627739,0022500059,2025-11-25,LAC @ LAL,L,30,8,13,0.615,3,6,0.5,0,0,0.0,0,0,0,3,1,0,2,2,19,-12,1
22025,1627739,0022500079,2025-11-28,LAC vs. MEM,L,30,4,9,0.444,2,5,0.4,1,2,0.5,2,5,7,1,5,0,2,1,11,-7,1
22025,1627739,0022500300,2025-11-29,LAC vs. DAL,L,33,3,7,0.429,0,4,0.0,0,0,0.0,0,3,3,2,2,0,1,2,6,8,1
22025,1627739,0022500313,2025-12-01,LAC @ MIA,L,26,4,7,0.571,1,2,0.5,3,3,1.0,2,2,4,5,1,0,0,0,12,-14,1
22025,1627739,0022500327,2025-12-03,LAC @ ATL,W,21,4,6,0.667,0,1,0.0,0,0,0.0,0,0,0,2,2,0,0,4,8,-3,1
22025,1627739,0022500347,2025-12-05,LAC @ MEM,L,21,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,3,2,0,1,1,0,-6,1
22025,1627739,0022500355,2025-12-06,LAC @ MIN,L,36,3,11,0.273,1,5,0.2,1,2,0.5,2,4,6,4,3,0,1,2,8,-4,1
22025,1627739,0022501205,2025-12-11,LAC @ HOU,L,26,3,7,0.429,3,7,0.429,0,0,0.0,0,1,1,6,2,0,3,3,9,7,1
22025,1627739,0022501226,2025-12-15,LAC vs. MEM,L,27,6,10,0.6,3,6,0.5,2,2,1.0,0,1,1,5,0,0,1,2,17,3,1
22025,1627739,0022500369,2025-12-18,LAC @ OKC,L,31,5,8,0.625,3,6,0.5,1,2,0.5,0,5,5,4,0,1,6,5,14,1,1
22025,1627739,0022500395,2025-12-20,LAC vs. LAL,W,32,3,4,0.75,2,3,0.667,0,0,0.0,2,4,6,3,1,0,1,4,8,8,1
22025,1627739,0022500422,2025-12-23,LAC vs. HOU,W,26,4,8,0.5,3,7,0.429,0,1,0.0,0,4,4,2,1,0,0,1,11,17,1
22025,1627739,0022500431,2025-12-26,LAC @ POR,W,33,3,5,0.6,1,2,0.5,0,0,0.0,1,2,3,4,2,0,1,1,7,4,1
22025,1627739,0022500445,2025-12-28,LAC vs. DET,W,30,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,3,2,1,0,4,5,7,1
22025,1627739,0022500461,2025-12-30,LAC vs. SAC,W,21,4,7,0.571,2,4,0.5,0,0,0.0,2,4,6,1,2,0,0,3,10,16,1
22025,1627739,0022500475,2026-01-01,LAC vs. UTA,W,24,1,4,0.25,0,2,0.0,0,0,0.0,2,0,2,2,1,0,1,2,2,-4,1
22025,1627739,0022500493,2026-01-03,LAC vs. BOS,L,30,4,10,0.4,2,6,0.333,0,0,0.0,2,2,4,6,0,0,0,2,10,-12,1
22025,1627739,0022500508,2026-01-05,LAC vs. GSW,W,33,5,7,0.714,2,3,0.667,4,4,1.0,0,3,3,6,1,0,4,5,16,-10,1
22025,1627739,0022500522,2026-01-07,LAC @ NYK,L,32,2,9,0.222,1,6,0.167,2,2,1.0,0,4,4,1,0,0,1,2,7,-4,1
22025,1627739,0022500535,2026-01-09,LAC @ BKN,W,22,4,6,0.667,1,2,0.5,0,0,0.0,0,1,1,5,1,0,1,1,9,9,1
22025,1627739,0022500544,2026-01-10,LAC @ DET,W,38,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,6,4,0,2,2,2,6,1
22025,1627739,0022500563,2026-01-12,LAC vs. CHA,W,21,0,6,0.0,0,6,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,7,1
22025,1627739,0022500577,2026-01-14,LAC vs. WAS,W,23,1,1,1.0,0,0,0.0,2,2,1.0,0,2,2,3,3,0,0,2,4,-8,1
22025,1627739,0022500590,2026-01-16,LAC @ TOR,W,34,4,6,0.667,3,4,0.75,4,4,1.0,1,3,4,4,4,0,5,4,15,10,1
22025,1627739,0022500608,2026-01-19,LAC @ WAS,W,39,3,6,0.5,1,2,0.5,3,4,0.75,2,3,5,4,1,1,2,3,10,-2,1
22025,1627739,0022500614,2026-01-20,LAC @ CHI,L,26,2,5,0.4,0,0,0.0,0,0,0.0,0,5,5,6,0,1,1,1,4,-8,1
22025,1627739,0022500633,2026-01-22,LAC vs. LAL,W,30,2,4,0.5,0,2,0.0,0,0,0.0,0,2,2,3,1,0,0,5,4,12,1
22025,1627739,0022500656,2026-01-25,LAC vs. BKN,W,13,1,3,0.333,0,0,0.0,0,0,0.0,2,1,3,0,1,0,1,0,2,15,1
22025,1627739,0022500670,2026-01-27,LAC @ UTA,W,31,6,10,0.6,2,4,0.5,0,0,0.0,0,2,2,2,5,0,1,1,14,15,1
