SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1642363,0022500088,2025-10-22,SAC @ PHX,L,24,1,3,0.333,0,0,0.0,0,0,0.0,3,5,8,2,2,1,1,4,2,3,1
22025,1642363,0022500142,2025-11-01,SAC @ MIL,W,16,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,2,0,8,1
22025,1642363,0022500162,2025-11-03,SAC @ DEN,L,19,4,9,0.444,0,2,0.0,0,0,0.0,1,0,1,3,0,1,0,5,8,3,1
22025,1642363,0022500181,2025-11-05,SAC vs. GSW,W,33,4,8,0.5,3,6,0.5,1,2,0.5,0,3,3,3,1,0,1,2,12,1,1
22025,1642363,0022500038,2025-11-07,SAC vs. OKC,L,17,0,4,0.0,0,3,0.0,0,0,0.0,0,3,3,2,0,0,0,1,0,-8,1
22025,1642363,0022500197,2025-11-09,SAC vs. MIN,L,23,4,7,0.571,1,2,0.5,1,2,0.5,1,4,5,5,1,0,3,0,10,-12,1
22025,1642363,0022500212,2025-11-11,SAC vs. DEN,L,14,1,4,0.25,1,2,0.5,2,2,1.0,0,3,3,2,0,0,1,2,5,8,1
22025,1642363,0022500223,2025-11-12,SAC vs. ATL,L,31,3,11,0.273,1,5,0.2,2,2,1.0,1,3,4,4,0,0,1,4,9,-5,1
22025,1642363,0022500044,2025-11-14,SAC @ MIN,L,7,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,6,1
22025,1642363,0022500234,2025-11-16,SAC @ SAS,L,11,0,3,0.0,0,2,0.0,1,2,0.5,0,0,0,0,0,1,0,1,1,-6,1
22025,1642363,0022500261,2025-11-19,SAC @ OKC,L,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-4,1
22025,1642363,0022500265,2025-11-20,SAC @ MEM,L,19,2,3,0.667,2,2,1.0,2,4,0.5,0,2,2,3,2,0,1,1,8,-14,1
22025,1642363,0022500274,2025-11-22,SAC @ DEN,W,9,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,3,2,4,1
22025,1642363,0022500292,2025-11-24,SAC vs. MIN,W,12,0,0,0.0,0,0,0.0,3,4,0.75,3,3,6,1,0,0,0,2,3,-4,1
22025,1642363,0022500068,2025-11-26,SAC vs. PHX,L,9,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-5,1
22025,1642363,0022500077,2025-11-28,SAC @ UTA,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-12,1
22025,1642363,0022500307,2025-11-30,SAC vs. MEM,L,13,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,1,4,5,19,1
22025,1642363,0022500330,2025-12-03,SAC @ HOU,L,23,1,7,0.143,0,3,0.0,0,0,0.0,0,0,0,2,1,1,0,3,2,-16,1
22025,1642363,0022500354,2025-12-06,SAC @ MIA,W,18,7,8,0.875,1,1,1.0,0,0,0.0,1,5,6,0,1,0,2,3,15,-8,1
22025,1642363,0022500364,2025-12-08,SAC @ IND,L,14,3,6,0.5,1,1,1.0,0,0,0.0,0,2,2,0,0,1,2,1,7,-2,1
22025,1642363,0022501208,2025-12-11,SAC vs. DEN,L,28,1,8,0.125,0,6,0.0,0,0,0.0,1,3,4,0,0,0,4,2,2,-29,1
22025,1642363,0022501220,2025-12-14,SAC @ MIN,L,13,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0,-14,1
22025,1642363,0022500380,2025-12-18,SAC @ POR,L,20,3,6,0.5,0,1,0.0,2,2,1.0,0,2,2,0,0,0,1,3,8,-1,1
22025,1642363,0022500394,2025-12-20,SAC vs. POR,L,29,5,11,0.455,2,6,0.333,0,0,0.0,0,5,5,1,2,0,0,2,12,11,1
22025,1642363,0022500401,2025-12-21,SAC vs. HOU,W,27,2,8,0.25,0,4,0.0,2,2,1.0,2,4,6,4,1,1,1,2,6,4,1
22025,1642363,0022500421,2025-12-23,SAC vs. DET,L,25,5,10,0.5,2,5,0.4,2,2,1.0,1,1,2,0,2,0,2,4,14,3,1
22025,1642363,0022500432,2025-12-27,SAC vs. DAL,W,20,3,10,0.3,1,3,0.333,1,2,0.5,3,6,9,1,2,0,1,1,8,-2,1
22025,1642363,0022500446,2025-12-28,SAC @ LAL,L,29,4,6,0.667,2,4,0.5,1,2,0.5,1,5,6,3,1,0,4,2,11,-4,1
22025,1642363,0022500461,2025-12-30,SAC @ LAC,L,29,7,12,0.583,3,5,0.6,1,1,1.0,1,0,1,2,0,1,2,4,18,-20,1
22025,1642363,0022500474,2026-01-01,SAC vs. BOS,L,16,0,2,0.0,0,1,0.0,0,0,0.0,2,0,2,1,3,0,1,2,0,-8,1
22025,1642363,0022500483,2026-01-02,SAC @ PHX,L,19,1,4,0.25,1,2,0.5,0,0,0.0,0,2,2,1,0,0,3,1,3,-6,1
22025,1642363,0022500500,2026-01-04,SAC vs. MIL,L,19,3,5,0.6,0,1,0.0,1,2,0.5,0,2,2,1,1,0,0,1,7,5,1
22025,1642363,0022500515,2026-01-06,SAC vs. DAL,L,14,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,1,2,2,3,-9,1
22025,1642363,0022500539,2026-01-09,SAC @ GSW,L,25,2,6,0.333,2,3,0.667,0,0,0.0,0,0,0,1,1,0,2,0,6,-13,1
