SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1628960,0022500088,2025-10-22,PHX vs. SAC,W,36,6,12,0.5,3,7,0.429,3,3,1.0,1,4,5,7,1,0,4,3,18,1,1
22025,1628960,0022500099,2025-10-24,PHX @ LAC,L,29,4,12,0.333,3,9,0.333,1,1,1.0,1,0,1,5,1,1,0,2,12,-11,1
22025,1628960,0022500104,2025-10-25,PHX @ DEN,L,33,6,12,0.5,5,10,0.5,0,0,0.0,0,4,4,5,1,0,0,3,17,-10,1
22025,1628960,0022500120,2025-10-27,PHX @ UTA,L,42,7,19,0.368,4,13,0.308,5,7,0.714,1,1,2,5,1,0,3,5,23,-8,1
22025,1628960,0022500137,2025-10-29,PHX vs. MEM,L,36,4,10,0.4,2,6,0.333,4,4,1.0,0,3,3,4,0,0,5,2,14,-2,1
22025,1628960,0022500025,2025-10-31,PHX vs. UTA,W,32,5,15,0.333,2,9,0.222,2,3,0.667,1,6,7,6,3,1,1,3,14,17,1
22025,1628960,0022500154,2025-11-02,PHX vs. SAS,W,34,6,13,0.462,5,9,0.556,0,0,0.0,0,3,3,3,0,0,2,3,17,17,1
22025,1628960,0022500169,2025-11-04,PHX @ GSW,L,35,6,15,0.4,4,9,0.444,0,0,0.0,0,4,4,5,3,0,1,4,16,-20,1
22025,1628960,0022500182,2025-11-06,PHX vs. LAC,W,36,7,13,0.538,4,9,0.444,0,0,0.0,0,3,3,4,3,1,2,4,18,22,1
22025,1628960,0022500190,2025-11-08,PHX @ LAC,W,31,5,12,0.417,4,7,0.571,0,0,0.0,0,0,0,3,1,0,2,0,14,13,1
22025,1628960,0022500204,2025-11-10,PHX vs. NOP,W,28,12,17,0.706,10,15,0.667,8,10,0.8,1,1,2,4,3,0,1,0,42,22,1
22025,1628960,0022500221,2025-11-12,PHX @ DAL,W,33,8,17,0.471,4,9,0.444,3,4,0.75,1,4,5,3,3,1,2,1,23,2,1
22025,1628960,0022500226,2025-11-13,PHX vs. IND,W,12,5,6,0.833,1,2,0.5,1,2,0.5,0,1,1,2,1,0,0,0,12,8,1
22025,1628960,0022500299,2025-11-29,PHX vs. DEN,L,26,4,11,0.364,2,7,0.286,0,0,0.0,1,0,1,3,2,0,0,3,10,-5,1
22025,1628960,0022500346,2025-12-05,PHX @ HOU,L,26,3,12,0.25,1,7,0.143,2,2,1.0,0,2,2,0,1,0,3,3,9,-29,1
22025,1628960,0022500365,2025-12-08,PHX @ MIN,W,33,5,16,0.313,1,8,0.125,1,3,0.333,1,2,3,4,2,0,2,5,12,-6,1
22025,1628960,0022501203,2025-12-10,PHX @ OKC,L,22,3,9,0.333,2,7,0.286,2,2,1.0,1,0,1,4,1,0,1,2,10,-41,1
22025,1628960,0022501228,2025-12-14,PHX vs. LAL,L,35,4,11,0.364,1,5,0.2,4,4,1.0,0,2,2,7,3,0,2,1,13,-4,1
22025,1628960,0022500505,2026-01-05,PHX @ HOU,L,22,0,6,0.0,0,4,0.0,0,0,0.0,0,3,3,6,4,0,3,0,0,-8,1
22025,1628960,0022500524,2026-01-07,PHX @ MEM,W,21,7,13,0.538,5,10,0.5,0,0,0.0,0,0,0,1,0,1,3,3,19,10,1
