SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1642875,0022500088,2025-10-22,SAC @ PHX,L,11,0,1,0.0,0,0,0.0,0,0,0.0,0,4,4,2,0,0,1,1,0,-3,1
22025,1642875,0022500142,2025-11-01,SAC @ MIL,W,4,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,1
22025,1642875,0022500181,2025-11-05,SAC vs. GSW,W,15,1,3,0.333,0,1,0.0,4,4,1.0,1,2,3,0,1,1,1,1,6,1,1
22025,1642875,0022500038,2025-11-07,SAC vs. OKC,L,24,3,10,0.3,0,1,0.0,2,2,1.0,4,6,10,1,1,0,1,1,8,-10,1
22025,1642875,0022500197,2025-11-09,SAC vs. MIN,L,5,2,2,1.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,5,-2,1
22025,1642875,0022500223,2025-11-12,SAC vs. ATL,L,15,3,6,0.5,0,1,0.0,1,1,1.0,1,3,4,1,0,1,3,2,7,-3,1
22025,1642875,0022500261,2025-11-19,SAC @ OKC,L,19,3,5,0.6,1,1,1.0,0,0,0.0,0,4,4,0,0,0,0,2,7,3,1
22025,1642875,0022500265,2025-11-20,SAC @ MEM,L,21,6,8,0.75,0,0,0.0,0,0,0.0,0,3,3,1,0,1,0,2,12,-12,1
22025,1642875,0022500274,2025-11-22,SAC @ DEN,W,8,3,5,0.6,0,1,0.0,0,0,0.0,0,3,3,1,1,0,0,3,6,-8,1
22025,1642875,0022500292,2025-11-24,SAC vs. MIN,W,14,0,4,0.0,0,1,0.0,1,2,0.5,1,1,2,0,0,0,0,3,1,-5,1
22025,1642875,0022500068,2025-11-26,SAC vs. PHX,L,9,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,2,0,-5,1
22025,1642875,0022500077,2025-11-28,SAC @ UTA,L,22,7,11,0.636,1,2,0.5,4,5,0.8,1,3,4,0,0,1,0,3,19,1,1
22025,1642875,0022500307,2025-11-30,SAC vs. MEM,L,23,3,7,0.429,0,1,0.0,3,4,0.75,2,4,6,3,0,1,2,6,9,6,1
22025,1642875,0022500330,2025-12-03,SAC @ HOU,L,32,10,15,0.667,2,2,1.0,3,3,1.0,2,4,6,3,1,1,1,0,25,-18,1
22025,1642875,0022500354,2025-12-06,SAC @ MIA,W,25,6,11,0.545,0,2,0.0,0,0,0.0,1,9,10,1,0,2,0,2,12,12,1
22025,1642875,0022500364,2025-12-08,SAC @ IND,L,23,5,8,0.625,0,0,0.0,3,4,0.75,3,5,8,3,0,0,3,3,13,2,1
22025,1642875,0022501208,2025-12-11,SAC vs. DEN,L,37,7,13,0.538,1,1,1.0,0,2,0.0,3,6,9,1,1,0,1,3,15,-26,1
