SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630194,0022500084,2025-10-22,DET @ CHI,L,3,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,1,1,2,3,-3,1
22025,1630194,0022500093,2025-10-24,DET @ HOU,W,19,6,10,0.6,1,1,1.0,0,0,0.0,5,4,9,1,0,2,2,4,13,6,1
22025,1630194,0022500007,2025-10-27,DET vs. CLE,L,8,2,3,0.667,0,1,0.0,0,0,0.0,1,1,2,0,1,0,2,0,4,5,1
22025,1630194,0022500129,2025-10-29,DET vs. ORL,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-3,1
22025,1630194,0022500161,2025-11-03,DET @ MEM,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,2,0,0,1,0,-3,1
22025,1630194,0022500172,2025-11-05,DET vs. UTA,W,7,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,3,2,-6,1
22025,1630194,0022500031,2025-11-07,DET @ BKN,W,15,3,3,1.0,0,0,0.0,0,2,0.0,4,2,6,2,2,0,0,2,6,8,1
22025,1630194,0022500195,2025-11-09,DET @ PHI,W,11,2,3,0.667,0,1,0.0,0,0,0.0,2,3,5,0,0,2,0,1,4,-3,1
22025,1630194,0022500199,2025-11-10,DET vs. WAS,W,13,4,5,0.8,0,0,0.0,0,2,0.0,4,5,9,0,1,1,0,3,8,8,1
22025,1630194,0022500214,2025-11-12,DET vs. CHI,W,31,11,13,0.846,2,2,1.0,4,4,1.0,6,7,13,6,4,1,4,3,28,26,1
22025,1630194,0022500041,2025-11-14,DET vs. PHI,W,25,5,9,0.556,0,1,0.0,0,0,0.0,2,6,8,3,2,3,3,1,10,6,1
22025,1630194,0022500242,2025-11-17,DET vs. IND,W,13,2,3,0.667,0,1,0.0,3,4,0.75,1,1,2,3,1,1,1,4,7,-3,1
22025,1630194,0022500251,2025-11-18,DET @ ATL,W,9,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,0,4,0,1
22025,1630194,0022500272,2025-11-22,DET @ MIL,W,5,0,1,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,-9,1
22025,1630194,0022500072,2025-11-28,DET vs. ORL,L,6,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,1,0,0,1,-5,1
22025,1630194,0022500296,2025-11-29,DET @ MIA,W,19,5,9,0.556,1,2,0.5,2,2,1.0,4,6,10,2,1,0,2,2,13,10,1
22025,1630194,0022500331,2025-12-03,DET @ MIL,L,7,4,5,0.8,1,2,0.5,0,0,0.0,1,3,4,1,0,1,2,0,9,-11,1
22025,1630194,0022500353,2025-12-06,DET vs. MIL,W,15,3,8,0.375,0,1,0.0,0,2,0.0,6,4,10,3,0,0,1,3,6,-15,1
22025,1630194,0022501210,2025-12-12,DET vs. ATL,W,5,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,1,4,-5,1
22025,1630194,0022500376,2025-12-18,DET @ DAL,L,6,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,4,10,1
22025,1630194,0022500390,2025-12-20,DET vs. CHA,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,1,0,-1,1
22025,1630194,0022500408,2025-12-22,DET @ POR,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4,1
22025,1630194,0022500430,2025-12-26,DET @ UTA,L,4,0,2,0.0,0,0,0.0,0,0,0.0,2,0,2,1,0,2,0,0,0,3,1
22025,1630194,0022500445,2025-12-28,DET @ LAC,L,6,1,3,0.333,0,1,0.0,1,1,1.0,1,1,2,0,1,0,0,2,3,6,1
22025,1630194,0022500460,2025-12-30,DET @ LAL,W,8,1,3,0.333,0,0,0.0,1,1,1.0,0,2,2,0,1,0,1,2,3,2,1
22025,1630194,0022500472,2026-01-01,DET vs. MIA,L,12,4,4,1.0,0,0,0.0,1,2,0.5,2,5,7,1,2,0,1,1,9,13,1
22025,1630194,0022500494,2026-01-04,DET @ CLE,W,30,4,9,0.444,0,1,0.0,0,0,0.0,4,4,8,4,1,0,1,1,8,1,1
22025,1630194,0022500502,2026-01-05,DET vs. NYK,W,26,4,7,0.571,0,1,0.0,0,0,0.0,5,3,8,1,0,1,1,5,8,22,1
