SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630700,0022500082,2025-10-22,ATL vs. TOR,L,23,2,4,0.5,0,1,0.0,0,0,0.0,1,2,3,2,2,0,3,5,4,-3,1
22025,1630700,0022500090,2025-10-24,ATL @ ORL,W,32,3,7,0.429,0,0,0.0,0,2,0.0,0,9,9,4,2,1,2,4,6,10,1
22025,1630700,0022500101,2025-10-25,ATL vs. OKC,L,27,2,6,0.333,1,1,1.0,3,4,0.75,1,3,4,1,1,1,2,2,8,-12,1
22025,1630700,0022500115,2025-10-27,ATL @ CHI,L,34,1,8,0.125,0,0,0.0,0,0,0.0,2,5,7,2,3,0,1,4,2,-15,1
22025,1630700,0022500130,2025-10-29,ATL @ BKN,W,35,3,10,0.3,0,1,0.0,1,2,0.5,0,4,4,6,3,1,1,2,7,-5,1
22025,1630700,0022500020,2025-10-31,ATL @ IND,W,38,8,13,0.615,0,0,0.0,2,2,1.0,2,7,9,6,3,0,1,2,18,13,1
22025,1630700,0022500151,2025-11-02,ATL @ CLE,L,36,8,12,0.667,0,1,0.0,2,4,0.5,1,3,4,3,4,1,2,1,18,-7,1
22025,1630700,0022500166,2025-11-04,ATL vs. ORL,W,35,8,9,0.889,1,1,1.0,1,2,0.5,1,5,6,6,2,0,3,1,18,25,1
22025,1630700,0022500030,2025-11-07,ATL vs. TOR,L,35,2,10,0.2,1,3,0.333,2,2,1.0,5,3,8,8,2,1,2,2,7,-3,1
22025,1630700,0022500185,2025-11-08,ATL vs. LAL,W,36,5,8,0.625,0,0,0.0,0,0,0.0,2,6,8,13,1,0,2,2,10,16,1
22025,1630700,0022500206,2025-11-10,ATL @ LAC,W,39,3,9,0.333,0,2,0.0,0,0,0.0,1,2,3,8,3,1,4,3,6,0,1
22025,1630700,0022500223,2025-11-12,ATL @ SAC,W,27,2,9,0.222,0,2,0.0,1,2,0.5,1,5,6,7,2,0,2,0,5,38,1
22025,1630700,0022500227,2025-11-13,ATL @ UTA,W,27,1,2,0.5,0,0,0.0,0,0,0.0,2,0,2,3,1,0,0,4,2,0,1
22025,1630700,0022500239,2025-11-16,ATL @ PHX,W,37,5,6,0.833,0,1,0.0,1,1,1.0,4,3,7,12,3,0,4,4,11,11,1
22025,1630700,0022500251,2025-11-18,ATL vs. DET,L,38,6,9,0.667,0,0,0.0,0,0,0.0,4,5,9,6,3,1,3,1,12,4,1
22025,1630700,0022500267,2025-11-20,ATL @ SAS,L,31,4,8,0.5,0,2,0.0,0,1,0.0,1,5,6,5,3,0,5,3,8,-2,1
22025,1630700,0022500270,2025-11-22,ATL @ NOP,W,31,6,15,0.4,0,4,0.0,2,2,1.0,5,3,8,4,1,1,1,3,14,13,1
22025,1630700,0022500276,2025-11-23,ATL vs. CHA,W,36,10,17,0.588,1,4,0.25,1,1,1.0,4,5,9,6,2,0,2,4,22,5,1
22025,1630700,0022500057,2025-11-25,ATL @ WAS,L,32,5,11,0.455,1,3,0.333,0,0,0.0,4,5,9,7,0,0,3,1,11,-23,1
22025,1630700,0022500069,2025-11-28,ATL vs. CLE,W,37,5,8,0.625,0,0,0.0,0,2,0.0,2,6,8,9,3,0,2,2,10,10,1
22025,1630700,0022500304,2025-11-30,ATL @ PHI,W,44,8,14,0.571,0,3,0.0,1,3,0.333,4,5,9,8,2,0,4,4,17,-4,1
22025,1630700,0022500309,2025-12-01,ATL @ DET,L,37,5,14,0.357,0,2,0.0,0,1,0.0,1,4,5,5,4,0,1,2,10,8,1
22025,1630700,0022500327,2025-12-03,ATL vs. LAC,L,35,6,13,0.462,0,2,0.0,3,3,1.0,1,2,3,2,2,0,3,2,15,-24,1
22025,1630700,0022500340,2025-12-05,ATL vs. DEN,L,34,7,14,0.5,1,3,0.333,0,0,0.0,2,1,3,8,2,0,3,4,15,4,1
22025,1630700,0022500351,2025-12-06,ATL @ WAS,W,36,4,16,0.25,0,5,0.0,4,4,1.0,3,3,6,3,0,0,2,1,12,13,1
22025,1630700,0022501210,2025-12-12,ATL @ DET,L,34,6,10,0.6,0,1,0.0,6,8,0.75,3,7,10,5,1,1,3,1,18,-24,1
22025,1630700,0022501217,2025-12-14,ATL vs. PHI,W,39,13,19,0.684,1,2,0.5,0,2,0.0,5,5,10,4,1,2,3,2,27,5,1
22025,1630700,0022500371,2025-12-18,ATL @ CHA,L,32,6,12,0.5,0,2,0.0,2,4,0.5,2,1,3,6,1,0,2,1,14,-13,1
22025,1630700,0022500383,2025-12-19,ATL vs. SAS,L,26,5,14,0.357,0,5,0.0,1,2,0.5,1,5,6,3,0,0,1,0,11,-13,1
22025,1630700,0022500396,2025-12-21,ATL vs. CHI,L,39,3,9,0.333,0,1,0.0,2,4,0.5,1,8,9,9,2,0,1,1,8,-11,1
22025,1630700,0022500423,2025-12-26,ATL vs. MIA,L,36,4,6,0.667,0,1,0.0,0,0,0.0,1,5,6,3,2,0,3,1,8,-14,1
22025,1630700,0022500435,2025-12-27,ATL vs. NYK,L,39,5,8,0.625,0,1,0.0,3,4,0.75,4,4,8,9,2,0,3,1,13,1,1
22025,1630700,0022500455,2025-12-29,ATL @ OKC,L,35,6,13,0.462,0,1,0.0,1,1,1.0,2,4,6,7,1,2,3,0,13,-20,1
22025,1630700,0022500463,2025-12-31,ATL vs. MIN,W,28,5,8,0.625,0,0,0.0,1,3,0.333,4,4,8,9,2,2,1,2,11,16,1
22025,1630700,0022500479,2026-01-02,ATL @ NYK,W,38,5,8,0.625,0,1,0.0,1,2,0.5,1,5,6,8,2,0,2,3,11,5,1
22025,1630700,0022500488,2026-01-03,ATL @ TOR,L,34,9,13,0.692,0,1,0.0,2,2,1.0,1,4,5,12,2,2,1,3,20,-5,1
22025,1630700,0022500504,2026-01-05,ATL @ TOR,L,39,4,13,0.308,0,2,0.0,3,4,0.75,1,5,6,3,0,0,2,4,11,-24,1
22025,1630700,0022500519,2026-01-07,ATL vs. NOP,W,35,6,11,0.545,0,1,0.0,1,1,1.0,2,6,8,8,3,1,2,3,13,9,1
22025,1630700,0022500537,2026-01-09,ATL @ DEN,W,36,8,14,0.571,0,2,0.0,1,2,0.5,1,10,11,10,4,0,1,0,17,25,1
22025,1630700,0022500556,2026-01-11,ATL @ GSW,W,31,5,8,0.625,0,0,0.0,1,2,0.5,2,5,7,9,0,1,3,4,11,8,1
22025,1630700,0022500569,2026-01-13,ATL @ LAL,L,33,4,6,0.667,0,0,0.0,0,0,0.0,5,3,8,5,2,0,0,1,8,-9,1
22025,1630700,0022500585,2026-01-15,ATL @ POR,L,33,5,9,0.556,0,0,0.0,0,0,0.0,0,5,5,1,1,0,1,1,10,-13,1
22025,1630700,0022500014,2026-01-19,ATL vs. MIL,L,30,8,16,0.5,0,2,0.0,1,1,1.0,3,6,9,10,3,1,2,5,17,0,1
22025,1630700,0022500623,2026-01-21,ATL @ MEM,W,35,1,9,0.111,0,0,0.0,1,2,0.5,3,4,7,8,0,0,1,2,3,-2,1
22025,1630700,0022500636,2026-01-23,ATL vs. PHX,W,37,4,6,0.667,0,0,0.0,0,0,0.0,4,4,8,4,0,0,1,1,8,22,1
22025,1630700,0022500659,2026-01-26,ATL vs. IND,W,35,10,15,0.667,1,3,0.333,1,2,0.5,1,4,5,9,1,1,1,2,22,2,1
22025,1630700,0022500673,2026-01-28,ATL @ BOS,W,35,7,11,0.636,1,1,1.0,0,0,0.0,2,4,6,9,5,1,1,2,15,9,1
22025,1630700,0022500682,2026-01-29,ATL vs. HOU,L,31,2,12,0.167,0,3,0.0,0,0,0.0,4,2,6,7,3,0,1,2,4,2,1
22025,1630700,0022500698,2026-01-31,ATL @ IND,L,29,4,7,0.571,0,0,0.0,0,0,0.0,3,5,8,7,2,0,2,4,8,5,1
22025,1630700,0022500720,2026-02-03,ATL @ MIA,W,22,1,4,0.25,0,0,0.0,0,0,0.0,0,1,1,5,1,0,1,2,2,0,1
22025,1630700,0022500735,2026-02-05,ATL vs. UTA,W,35,5,12,0.417,1,2,0.5,0,2,0.0,3,3,6,6,0,0,1,2,11,9,1
22025,1630700,0022500751,2026-02-07,ATL vs. CHA,L,31,5,13,0.385,0,1,0.0,1,1,1.0,3,3,6,3,2,0,1,1,11,-17,1
22025,1630700,0022500775,2026-02-11,ATL @ CHA,L,25,9,12,0.75,0,1,0.0,3,4,0.75,1,2,3,4,0,0,2,2,21,-10,1
