SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630530,0022500270,2025-11-22,NOP vs. ATL,L,31,6,16,0.375,4,10,0.4,3,4,0.75,1,8,9,4,0,0,4,2,19,-16,1
22025,1630530,0022500289,2025-11-24,NOP vs. CHI,W,36,7,16,0.438,4,10,0.4,2,3,0.667,0,4,4,4,2,0,1,3,20,20,1
22025,1630530,0022500065,2025-11-26,NOP vs. MEM,L,38,5,12,0.417,2,6,0.333,0,0,0.0,0,4,4,6,2,0,3,3,12,-9,1
22025,1630530,0022500321,2025-12-02,NOP vs. MIN,L,41,11,21,0.524,4,8,0.5,7,7,1.0,3,12,15,4,0,0,1,4,33,-8,1
22025,1630530,0022500337,2025-12-04,NOP vs. MIN,L,34,7,17,0.412,0,5,0.0,7,8,0.875,2,5,7,8,2,0,2,2,21,2,1
22025,1630530,0022500350,2025-12-06,NOP @ BKN,L,35,10,17,0.588,2,7,0.286,1,2,0.5,3,2,5,5,2,0,4,1,23,-25,1
22025,1630530,0022500366,2025-12-08,NOP vs. SAS,L,38,13,21,0.619,2,6,0.333,4,5,0.8,0,3,3,4,2,1,1,1,32,12,1
22025,1630530,0022501207,2025-12-11,NOP vs. POR,W,31,10,14,0.714,1,3,0.333,3,4,0.75,1,5,6,4,3,0,1,1,24,8,1
22025,1630530,0022501223,2025-12-14,NOP @ CHI,W,34,8,14,0.571,2,6,0.333,2,3,0.667,3,7,10,2,0,0,1,2,20,6,1
22025,1630530,0022500375,2025-12-18,NOP vs. HOU,W,38,9,13,0.692,2,2,1.0,7,7,1.0,2,1,3,2,1,1,0,2,27,0,1
22025,1630530,0022500389,2025-12-20,NOP vs. IND,W,33,5,8,0.625,2,5,0.4,5,5,1.0,0,6,6,4,0,0,2,3,17,27,1
22025,1630530,0022500404,2025-12-22,NOP vs. DAL,W,38,4,12,0.333,1,4,0.25,2,2,1.0,0,5,5,4,4,0,1,1,11,10,1
22025,1630530,0022500412,2025-12-23,NOP @ CLE,L,26,6,12,0.5,2,5,0.4,0,0,0.0,1,2,3,5,1,0,2,2,14,-16,1
22025,1630530,0022500429,2025-12-26,NOP vs. PHX,L,36,8,16,0.5,1,3,0.333,2,3,0.667,1,2,3,3,4,0,1,4,19,-14,1
22025,1630530,0022500434,2025-12-27,NOP vs. PHX,L,37,6,12,0.5,6,9,0.667,6,6,1.0,1,5,6,1,1,0,1,2,24,1,1
22025,1630530,0022500454,2025-12-29,NOP vs. NYK,L,38,8,16,0.5,5,10,0.5,0,0,0.0,0,6,6,2,0,0,2,1,21,-4,1
22025,1630530,0022500466,2025-12-31,NOP @ CHI,L,34,6,15,0.4,3,11,0.273,0,0,0.0,0,6,6,5,0,1,4,3,15,-17,1
22025,1630530,0022500497,2026-01-04,NOP @ MIA,L,38,10,19,0.526,7,15,0.467,0,0,0.0,0,8,8,5,1,1,2,1,27,-18,1
22025,1630530,0022500514,2026-01-06,NOP vs. LAL,L,39,14,26,0.538,6,17,0.353,8,9,0.889,1,4,5,3,0,0,0,2,42,-8,1
22025,1630530,0022500534,2026-01-09,NOP @ WAS,W,36,13,24,0.542,7,16,0.438,2,3,0.667,1,7,8,4,4,0,1,1,35,32,1
22025,1630530,0022500548,2026-01-11,NOP @ ORL,L,37,8,15,0.533,3,7,0.429,2,2,1.0,0,7,7,6,0,0,3,3,21,-11,1
22025,1630530,0022500567,2026-01-13,NOP vs. DEN,L,34,11,18,0.611,4,8,0.5,5,5,1.0,0,5,5,2,1,0,4,5,31,-8,1
22025,1630530,0022500574,2026-01-14,NOP vs. BKN,W,38,12,22,0.545,5,13,0.385,5,7,0.714,1,8,9,5,2,1,0,1,34,15,1
22025,1630530,0022500588,2026-01-16,NOP @ IND,L,38,7,21,0.333,5,14,0.357,3,4,0.75,1,3,4,5,1,1,1,3,22,1,1
22025,1630530,0022500604,2026-01-18,NOP @ HOU,L,35,7,15,0.467,3,8,0.375,4,4,1.0,1,2,3,4,1,1,2,3,21,-16,1
22025,1630530,0022500624,2026-01-21,NOP vs. DET,L,35,6,19,0.316,2,9,0.222,3,3,1.0,0,4,4,2,2,1,5,0,17,-5,1
22025,1630530,0022500639,2026-01-23,NOP @ MEM,W,36,9,15,0.6,2,7,0.286,12,12,1.0,0,3,3,3,3,0,1,1,32,6,1
22025,1630530,0022500654,2026-01-25,NOP @ SAS,W,38,7,22,0.318,3,11,0.273,0,1,0.0,1,5,6,9,0,0,1,2,17,13,1
22025,1630530,0022500667,2026-01-27,NOP @ OKC,L,39,3,20,0.15,1,11,0.091,3,5,0.6,1,4,5,5,3,1,0,2,10,-4,1
22025,1630530,0022500691,2026-01-30,NOP vs. MEM,W,33,2,14,0.143,0,7,0.0,4,5,0.8,0,1,1,2,2,1,1,2,8,-1,1
22025,1630530,0022500699,2026-01-31,NOP @ PHI,L,38,8,21,0.381,3,11,0.273,0,0,0.0,2,7,9,2,0,1,0,2,19,-7,1
22025,1630530,0022500712,2026-02-02,NOP @ CHA,L,37,10,20,0.5,3,8,0.375,4,4,1.0,0,1,1,4,1,0,2,1,27,-10,1
22025,1630530,0022500729,2026-02-04,NOP @ MIL,L,40,15,28,0.536,12,19,0.632,2,2,1.0,2,4,6,6,3,0,4,1,44,3,1
22025,1630530,0022500744,2026-02-06,NOP @ MIN,W,37,9,15,0.6,6,10,0.6,2,2,1.0,1,5,6,5,0,1,3,3,26,9,1
22025,1630530,0022500766,2026-02-09,NOP vs. SAC,W,29,8,15,0.533,5,11,0.455,0,1,0.0,1,1,2,7,1,0,0,2,21,17,1
22025,1630530,0022500784,2026-02-11,NOP vs. MIA,L,27,7,15,0.467,2,8,0.25,3,3,1.0,0,4,4,6,0,0,1,3,19,-13,1
