SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1631106,0022500001,2025-10-21,HOU @ OKC,L,22,1,6,0.167,1,4,0.25,0,0,0.0,0,6,6,0,0,1,4,1,3,-4,1
22025,1631106,0022500093,2025-10-24,HOU vs. DET,L,28,2,5,0.4,0,1,0.0,0,0,0.0,3,2,5,2,1,0,1,2,4,-5,1
22025,1631106,0022500116,2025-10-27,HOU vs. BKN,W,26,8,12,0.667,5,7,0.714,1,3,0.333,0,5,5,5,0,1,0,2,22,21,1
22025,1631106,0022500131,2025-10-29,HOU @ TOR,W,23,6,11,0.545,2,3,0.667,0,0,0.0,1,4,5,4,2,0,5,2,14,4,1
22025,1631106,0022500146,2025-11-01,HOU @ BOS,W,20,4,7,0.571,4,6,0.667,0,0,0.0,1,5,6,0,0,1,3,2,12,15,1
22025,1631106,0022500160,2025-11-03,HOU vs. DAL,W,30,6,9,0.667,3,5,0.6,0,0,0.0,0,4,4,2,2,1,1,0,15,8,1
22025,1631106,0022500176,2025-11-05,HOU @ MEM,W,32,5,13,0.385,4,8,0.5,2,2,1.0,1,4,5,1,1,1,0,3,16,5,1
22025,1631106,0022500032,2025-11-07,HOU @ SAS,L,25,4,6,0.667,3,4,0.75,0,0,0.0,1,2,3,2,2,0,4,0,11,-5,1
22025,1631106,0022500191,2025-11-09,HOU @ MIL,W,19,3,8,0.375,0,5,0.0,0,0,0.0,2,6,8,0,0,0,0,2,6,-12,1
22025,1631106,0022500218,2025-11-12,HOU vs. WAS,W,21,7,12,0.583,4,6,0.667,2,2,1.0,4,2,6,0,0,0,0,2,20,13,1
22025,1631106,0022500042,2025-11-14,HOU vs. POR,W,11,1,6,0.167,1,4,0.25,0,0,0.0,3,2,5,2,1,0,1,2,3,4,1
22025,1631106,0022500401,2025-12-21,HOU @ SAC,L,16,6,8,0.75,3,3,1.0,1,2,0.5,2,1,3,3,1,0,0,0,16,-3,1
22025,1631106,0022500422,2025-12-23,HOU @ LAC,L,18,3,7,0.429,1,5,0.2,0,0,0.0,1,4,5,0,0,1,0,2,7,-16,1
22025,1631106,0022500012,2025-12-25,HOU @ LAL,W,26,6,14,0.429,1,5,0.2,0,2,0.0,1,2,3,2,4,2,1,4,13,23,1
22025,1631106,0022500438,2025-12-27,HOU vs. CLE,W,21,3,6,0.5,2,3,0.667,1,2,0.5,3,3,6,0,2,1,2,5,9,6,1
22025,1631106,0022500453,2025-12-29,HOU vs. IND,W,29,5,8,0.625,1,3,0.333,2,2,1.0,3,5,8,1,1,1,2,3,13,9,1
22025,1631106,0022500471,2026-01-01,HOU @ BKN,W,22,6,7,0.857,2,2,1.0,1,2,0.5,2,7,9,0,1,1,1,3,15,15,1
22025,1631106,0022500491,2026-01-03,HOU @ DAL,L,34,7,17,0.412,3,6,0.5,2,2,1.0,2,8,10,2,2,0,2,1,19,10,1
22025,1631106,0022500505,2026-01-05,HOU vs. PHX,W,30,5,15,0.333,2,6,0.333,0,0,0.0,2,6,8,2,1,0,1,0,12,4,1
22025,1631106,0022500527,2026-01-07,HOU @ POR,L,31,5,18,0.278,2,8,0.25,3,4,0.75,6,7,13,3,1,1,3,4,15,3,1
22025,1631106,0022500540,2026-01-09,HOU @ POR,L,16,2,4,0.5,1,2,0.5,1,2,0.5,2,1,3,2,2,1,3,3,6,-1,1
22025,1631106,0022500615,2026-01-20,HOU vs. SAS,W,20,3,6,0.5,0,0,0.0,0,0,0.0,2,4,6,1,1,1,3,2,6,-3,1
22025,1631106,0022500628,2026-01-22,HOU @ PHI,L,28,5,12,0.417,3,7,0.429,0,1,0.0,3,6,9,2,4,0,1,2,13,-18,1
22025,1631106,0022500662,2026-01-26,HOU vs. MEM,W,27,6,17,0.353,4,8,0.5,1,2,0.5,2,5,7,0,2,1,3,1,17,10,1
22025,1631106,0022500679,2026-01-28,HOU vs. SAS,L,25,4,10,0.4,2,3,0.667,0,0,0.0,3,3,6,0,3,1,0,4,10,-7,1
22025,1631106,0022500701,2026-01-31,HOU vs. DAL,W,31,7,15,0.467,3,5,0.6,0,0,0.0,3,4,7,3,2,0,1,4,17,5,1
22025,1631106,0022500713,2026-02-02,HOU @ IND,W,33,3,7,0.429,1,2,0.5,2,2,1.0,1,9,10,0,0,1,0,2,9,-2,1
22025,1631106,0022500728,2026-02-04,HOU vs. BOS,L,28,4,6,0.667,2,2,1.0,0,0,0.0,2,2,4,1,0,0,0,3,10,-9,1
22025,1631106,0022500748,2026-02-07,HOU @ OKC,W,34,10,22,0.455,5,13,0.385,1,2,0.5,2,6,8,1,3,0,3,5,26,12,1
22025,1631106,0022500772,2026-02-10,HOU vs. LAC,W,30,2,10,0.2,2,6,0.333,0,0,0.0,2,3,5,1,1,0,2,2,6,0,1
22025,1631106,0022500782,2026-02-11,HOU vs. LAC,L,34,4,13,0.308,2,8,0.25,3,3,1.0,0,2,2,3,0,0,1,1,13,1,1
