SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1631109,0022500088,2025-10-22,PHX vs. SAC,W,24,3,5,0.6,0,0,0.0,0,0,0.0,2,9,11,0,0,2,1,2,6,15,1
22025,1631109,0022500099,2025-10-24,PHX @ LAC,L,14,1,5,0.2,0,0,0.0,0,0,0.0,3,3,6,0,0,0,0,4,2,-18,1
22025,1631109,0022500120,2025-10-27,PHX @ UTA,L,31,9,14,0.643,0,0,0.0,7,9,0.778,5,6,11,0,2,0,0,3,25,13,1
22025,1631109,0022500137,2025-10-29,PHX vs. MEM,L,28,9,12,0.75,0,0,0.0,2,2,1.0,4,8,12,1,4,1,2,4,20,6,1
22025,1631109,0022500025,2025-10-31,PHX vs. UTA,W,25,3,6,0.5,0,0,0.0,3,4,0.75,1,6,7,0,0,2,0,2,9,3,1
22025,1631109,0022500154,2025-11-02,PHX vs. SAS,W,25,3,5,0.6,0,0,0.0,1,4,0.25,1,6,7,2,1,2,0,3,7,24,1
22025,1631109,0022500169,2025-11-04,PHX @ GSW,L,27,6,12,0.5,0,0,0.0,4,5,0.8,9,7,16,4,1,0,2,1,16,1,1
22025,1631109,0022500182,2025-11-06,PHX vs. LAC,W,28,4,8,0.5,0,0,0.0,5,6,0.833,3,7,10,0,2,0,0,4,13,18,1
22025,1631109,0022500190,2025-11-08,PHX @ LAC,W,29,7,9,0.778,0,0,0.0,5,5,1.0,1,5,6,0,2,0,2,3,19,18,1
22025,1631109,0022500204,2025-11-10,PHX vs. NOP,W,20,0,1,0.0,0,0,0.0,2,2,1.0,1,6,7,1,1,2,0,2,2,8,1
22025,1631109,0022500221,2025-11-12,PHX @ DAL,W,26,5,6,0.833,0,0,0.0,0,0,0.0,3,1,4,2,2,2,1,2,10,-5,1
22025,1631109,0022500239,2025-11-16,PHX vs. ATL,L,28,4,5,0.8,0,0,0.0,0,0,0.0,1,3,4,1,0,0,2,4,8,-15,1
22025,1631109,0022500254,2025-11-18,PHX @ POR,W,21,7,9,0.778,0,0,0.0,1,2,0.5,4,2,6,1,2,1,2,3,15,15,1
22025,1631109,0022500053,2025-11-21,PHX vs. MIN,W,26,6,9,0.667,0,0,0.0,7,8,0.875,3,5,8,0,1,1,1,4,19,-15,1
22025,1631109,0022500281,2025-11-23,PHX vs. SAS,W,29,6,8,0.75,0,0,0.0,2,3,0.667,4,7,11,2,1,1,0,3,14,2,1
22025,1631109,0022500068,2025-11-26,PHX @ SAC,W,29,9,12,0.75,0,0,0.0,3,5,0.6,9,7,16,4,3,1,3,3,21,5,1
22025,1631109,0022500075,2025-11-28,PHX @ OKC,L,22,5,9,0.556,0,0,0.0,3,3,1.0,4,10,14,0,0,0,4,3,13,-10,1
22025,1631109,0022500317,2025-12-01,PHX @ LAL,W,25,6,8,0.75,0,0,0.0,1,3,0.333,1,5,6,1,2,1,0,0,13,14,1
22025,1631109,0022500346,2025-12-05,PHX @ HOU,L,17,4,6,0.667,0,0,0.0,2,2,1.0,3,0,3,0,2,0,2,1,10,-21,1
22025,1631109,0022500365,2025-12-08,PHX @ MIN,W,29,7,9,0.778,1,1,1.0,7,9,0.778,3,4,7,3,2,0,0,4,22,-8,1
22025,1631109,0022501203,2025-12-10,PHX @ OKC,L,19,2,5,0.4,0,0,0.0,5,7,0.714,1,4,5,1,1,0,0,0,9,-30,1
22025,1631109,0022501228,2025-12-14,PHX vs. LAL,L,29,9,10,0.9,0,0,0.0,2,3,0.667,3,3,6,1,0,3,1,2,20,14,1
22025,1631109,0022500378,2025-12-18,PHX vs. GSW,W,19,2,3,0.667,0,0,0.0,2,2,1.0,1,3,4,1,1,1,1,2,6,12,1
22025,1631109,0022500392,2025-12-20,PHX @ GSW,L,18,2,3,0.667,0,0,0.0,0,0,0.0,1,4,5,1,2,1,0,0,4,-15,1
22025,1631109,0022500418,2025-12-23,PHX vs. LAL,W,21,7,8,0.875,0,0,0.0,4,4,1.0,3,6,9,2,0,2,0,1,18,19,1
22025,1631109,0022500429,2025-12-26,PHX @ NOP,W,27,9,13,0.692,0,0,0.0,6,8,0.75,4,9,13,2,2,1,3,3,24,14,1
22025,1631109,0022500434,2025-12-27,PHX @ NOP,W,11,4,9,0.444,0,0,0.0,2,2,1.0,8,0,8,0,0,0,0,1,10,-12,1
22025,1631109,0022500465,2025-12-31,PHX @ CLE,L,24,0,3,0.0,0,0,0.0,2,2,1.0,4,5,9,2,0,1,1,1,2,-12,1
22025,1631109,0022500483,2026-01-02,PHX vs. SAC,W,22,3,4,0.75,0,0,0.0,9,11,0.818,2,7,9,0,1,1,1,2,15,7,1
22025,1631109,0022500499,2026-01-04,PHX vs. OKC,W,21,3,5,0.6,0,0,0.0,2,2,1.0,3,3,6,0,1,0,2,2,8,-10,1
22025,1631109,0022500505,2026-01-05,PHX @ HOU,L,21,2,6,0.333,0,0,0.0,0,0,0.0,2,6,8,1,0,0,0,3,4,0,1
22025,1631109,0022500524,2026-01-07,PHX @ MEM,W,27,5,6,0.833,0,0,0.0,2,2,1.0,4,8,12,1,1,1,2,1,12,13,1
22025,1631109,0022500538,2026-01-09,PHX vs. NYK,W,25,5,6,0.833,0,0,0.0,0,0,0.0,0,5,5,0,0,2,1,0,10,9,1
